signal,entry,exit,group,sector,ticker,skew90,mom20,dd60,stock_ret,pnl,vs_sector
2018-08-27,2018-08-28,2018-09-19,G4,XLV,MDT,6.16,0.0714,-0.0018,0.0072,-0.0092,0.0072
2018-08-27,2018-08-28,2018-09-19,G4,XLI,PH,7.12,0.0729,-0.0002,0.0876,-0.0896,-0.059
2018-08-27,2018-08-28,2018-09-19,G4,XLC,T,8.47,0.0259,-0.0245,0.0214,-0.0234,-0.0482
2018-08-27,2018-08-28,2018-09-19,G4,XLB,PPG,8.15,0.0171,0.0,0.0471,-0.0491,-0.0368
2018-08-27,2018-08-28,2018-09-19,G4,XLP,PG,7.88,0.0404,-0.0055,0.0062,-0.0082,0.0071
2018-08-27,2018-08-28,2018-09-19,G4,XLU,ED,9.61,0.0189,-0.0277,-0.0017,-0.0003,-0.0
2018-09-18,2018-09-19,2018-10-10,G1,XLK,AMD,-1.66,0.5981,-0.0241,-0.199,-0.201,-0.1379
2018-09-18,2018-09-19,2018-10-10,G1,XLY,TJX,2.7,0.073,-0.0213,-0.0068,-0.0088,0.0637
2018-09-18,2018-09-19,2018-10-10,G1,XLV,BSX,2.91,0.0882,0.0,-0.0368,-0.0388,-0.0255
2018-09-18,2018-09-19,2018-10-10,G1,XLI,UNP,1.33,0.091,0.0,-0.0512,-0.0532,-0.0013
2018-09-18,2018-09-19,2018-10-10,G1,XLC,MTCH,1.34,0.2343,0.0,-0.149,-0.151,-0.0974
2018-09-18,2018-09-19,2018-10-10,G1,XLB,ECL,3.93,0.0591,-0.0004,-0.0445,-0.0465,0.0522
2018-09-18,2018-09-19,2018-10-10,G1,XLE,MPC,1.46,0.0662,-0.0044,0.0014,-0.0006,-0.0089
2018-09-18,2018-09-19,2018-10-10,G1,XLP,TGT,3.55,0.0523,-0.0177,-0.0225,-0.0245,-0.0071
2018-09-18,2018-09-19,2018-10-10,G1,XLU,NRG,3.83,0.0497,-0.0099,0.0242,0.0222,0.0
2018-09-18,2018-09-19,2018-10-10,G2,XLK,LRCX,3.86,-0.0967,-0.1884,-0.0875,0.0855,0.0265
2018-09-18,2018-09-19,2018-10-10,G2,XLY,AZO,2.32,-0.0445,-0.0642,0.0317,-0.0337,-0.1022
2018-09-18,2018-09-19,2018-10-10,G2,XLV,ABBV,3.46,-0.0514,-0.0627,0.0226,-0.0246,-0.034
2018-09-18,2018-09-19,2018-10-10,G2,XLC,META,3.34,-0.0707,-0.263,-0.0716,0.0696,0.02
2018-09-18,2018-09-19,2018-10-10,G2,XLB,NEM,2.92,-0.028,-0.1934,-0.0305,0.0285,-0.0662
2018-09-18,2018-09-19,2018-10-10,G2,XLE,DVN,3.47,-0.0398,-0.136,-0.0645,0.0625,0.0747
2018-09-18,2018-09-19,2018-10-10,G2,XLP,MNST,3.54,-0.0435,-0.0447,-0.0914,0.0894,0.0759
2018-09-18,2018-09-19,2018-10-10,G3,XLK,TXN,6.11,-0.0378,-0.0968,-0.0757,-0.0777,-0.0147
2018-09-18,2018-09-19,2018-10-10,G3,XLY,TSLA,8.31,-0.0761,-0.2493,-0.1409,-0.1429,-0.0704
2018-09-18,2018-09-19,2018-10-10,G3,XLI,GE,5.41,0.0391,-0.098,0.0327,0.0307,0.0826
2018-09-18,2018-09-19,2018-10-10,G3,XLC,NWSA,5.79,-0.0774,-0.2061,0.02,0.018,0.0716
2018-09-18,2018-09-19,2018-10-10,G3,XLB,VMC,5.74,0.0283,-0.1325,-0.0801,-0.0821,0.0165
2018-09-18,2018-09-19,2018-10-10,G4,XLK,ORCL,6.46,0.0126,-0.0063,-0.0411,0.0391,-0.02
2018-09-18,2018-09-19,2018-10-10,G4,XLY,SBUX,6.89,0.0213,-0.0009,0.0105,-0.0125,-0.0809
2018-09-18,2018-09-19,2018-10-10,G4,XLV,ABT,6.44,0.0583,-0.0013,0.0061,-0.0081,-0.0175
2018-09-18,2018-09-19,2018-10-10,G4,XLI,LMT,7.15,0.0652,0.0,-0.0075,0.0055,-0.0425
2018-09-18,2018-09-19,2018-10-10,G4,XLB,PPG,7.78,0.0323,0.0,-0.1343,0.1323,0.0376
2018-09-18,2018-09-19,2018-10-10,G4,XLE,XOM,6.22,0.0612,0.0,-0.0013,-0.0007,0.0115
2018-09-18,2018-09-19,2018-10-10,G4,XLP,PG,6.4,0.0043,-0.003,-0.0305,0.0285,0.015
2018-09-18,2018-09-19,2018-10-10,G4,XLU,CNP,8.97,0.0088,-0.0111,-0.0011,-0.0009,0.0252
2018-10-09,2018-10-10,2018-10-31,G1,XLK,IBM,3.44,0.0051,-0.0423,-0.191,-0.193,-0.188
2018-10-09,2018-10-10,2018-10-31,G1,XLY,AZO,3.27,0.0239,-0.0075,-0.0574,-0.0594,-0.0294
2018-10-09,2018-10-10,2018-10-31,G1,XLV,LLY,3.31,0.0929,-0.0001,-0.0432,-0.0452,-0.0055
2018-10-09,2018-10-10,2018-10-31,G1,XLI,GE,2.76,0.1094,-0.0052,-0.2395,-0.2415,-0.1662
2018-10-09,2018-10-10,2018-10-31,G1,XLC,NWSA,-9.05,0.0758,-0.1262,0.0329,0.0309,0.0266
2018-10-09,2018-10-10,2018-10-31,G1,XLB,NUE,3.4,0.0221,-0.0573,-0.0315,-0.0335,-0.0014
2018-10-09,2018-10-10,2018-10-31,G1,XLE,FANG,3.04,0.1609,-0.0342,-0.1309,-0.1329,-0.0222
2018-10-09,2018-10-10,2018-10-31,G1,XLP,ADM,3.45,0.0342,-0.0066,-0.0576,-0.0596,-0.0876
2018-10-09,2018-10-10,2018-10-31,G1,XLU,VST,-0.52,0.1014,-0.0121,-0.0912,-0.0932,-0.0854
2018-10-09,2018-10-10,2018-10-31,G2,XLK,KLAC,3.7,-0.0613,-0.1656,-0.0246,0.0226,0.0216
2018-10-09,2018-10-10,2018-10-31,G2,XLY,AMZN,3.75,-0.0588,-0.083,-0.0896,0.0876,0.0615
2018-10-09,2018-10-10,2018-10-31,G2,XLC,META,2.92,-0.0485,-0.274,0.0027,-0.0047,0.0036
2018-10-09,2018-10-10,2018-10-31,G2,XLB,IP,3.37,-0.1349,-0.1821,0.042,-0.044,-0.0721
2018-10-09,2018-10-10,2018-10-31,G2,XLE,DVN,2.85,-0.0459,-0.1256,-0.1314,0.1294,0.0227
2018-10-09,2018-10-10,2018-10-31,G2,XLP,KR,3.5,-0.1105,-0.1425,0.0732,-0.0752,-0.0432
2018-10-09,2018-10-10,2018-10-31,G3,XLK,TXN,5.67,-0.03,-0.1144,-0.0565,-0.0585,-0.0535
2018-10-09,2018-10-10,2018-10-31,G3,XLY,TSLA,10.42,-0.0595,-0.3076,0.3131,0.3111,0.3412
2018-10-09,2018-10-10,2018-10-31,G3,XLB,PKG,5.59,-0.1673,-0.2117,0.0322,0.0302,0.0622
2018-10-09,2018-10-10,2018-10-31,G3,XLE,WMB,7.0,-0.0329,-0.1207,-0.1055,-0.1075,0.0032
2018-10-09,2018-10-10,2018-10-31,G3,XLP,GIS,6.7,-0.0637,-0.0837,-0.0032,-0.0052,-0.0331
2018-10-09,2018-10-10,2018-10-31,G3,XLU,SO,6.4,-0.0011,-0.0896,0.0248,0.0228,0.0305
2018-10-09,2018-10-10,2018-10-31,G4,XLK,CSCO,5.18,0.0166,-0.027,0.0026,-0.0046,-0.0057
2018-10-09,2018-10-10,2018-10-31,G4,XLY,MCD,6.75,0.0316,0.0,0.0507,-0.0527,-0.0787
2018-10-09,2018-10-10,2018-10-31,G4,XLV,MRK,6.95,0.0543,0.0,0.0449,-0.0469,-0.0826
2018-10-09,2018-10-10,2018-10-31,G4,XLI,GD,8.41,0.046,-0.0145,-0.1276,0.1256,0.0544
2018-10-09,2018-10-10,2018-10-31,G4,XLC,T,6.67,0.0457,0.0,-0.0661,0.0641,0.0724
2018-10-09,2018-10-10,2018-10-31,G4,XLB,ECL,5.9,0.003,-0.0279,0.0155,-0.0175,-0.0456
2018-10-09,2018-10-10,2018-10-31,G4,XLE,OKE,5.71,0.0569,-0.0243,-0.0254,0.0234,-0.0833
2018-10-09,2018-10-10,2018-10-31,G4,XLP,PM,7.69,0.1082,-0.0116,0.0408,-0.0428,-0.0108
2018-10-09,2018-10-10,2018-10-31,G4,XLU,PEG,6.96,0.0248,0.0,-0.0202,0.0182,0.0144
2018-10-30,2018-10-31,2018-11-21,G1,XLV,LLY,3.38,0.0035,-0.0617,0.0402,0.0382,0.031
2018-10-30,2018-10-31,2018-11-21,G1,XLC,CMCSA,3.9,0.0563,0.0,-0.0165,-0.0185,0.0395
2018-10-30,2018-10-31,2018-11-21,G1,XLP,HSY,2.41,0.052,-0.0012,-0.0026,-0.0046,0.0049
2018-10-30,2018-10-31,2018-11-21,G1,XLU,XEL,3.9,0.0406,-0.0113,0.0355,0.0335,0.0282
2018-10-30,2018-10-31,2018-11-21,G2,XLK,AMD,3.75,-0.4073,-0.4743,0.0286,-0.0306,-0.0954
2018-10-30,2018-10-31,2018-11-21,G2,XLY,RCL,2.73,-0.2071,-0.2295,0.0252,-0.0272,-0.0527
2018-10-30,2018-10-31,2018-11-21,G2,XLV,BMY,3.57,-0.1984,-0.2089,0.0526,-0.0546,-0.0435
2018-10-30,2018-10-31,2018-11-21,G2,XLI,UNP,2.92,-0.1034,-0.1134,-0.0145,0.0125,0.0144
2018-10-30,2018-10-31,2018-11-21,G2,XLB,FCX,3.42,-0.1754,-0.2558,-0.0206,0.0186,0.0449
2018-10-30,2018-10-31,2018-11-21,G2,XLE,SLB,1.45,-0.1546,-0.2091,-0.0715,0.0695,0.054
2018-10-30,2018-10-31,2018-11-21,G2,XLP,CL,3.9,-0.1009,-0.123,0.0398,-0.0418,-0.0473
2018-10-30,2018-10-31,2018-11-21,G2,XLU,VST,2.88,-0.1399,-0.1456,0.0075,-0.0095,-0.0002
2018-10-30,2018-10-31,2018-11-21,G3,XLK,AMAT,5.24,-0.1666,-0.351,0.0763,0.0743,0.1431
2018-10-30,2018-10-31,2018-11-21,G3,XLY,LOW,5.93,-0.1544,-0.1852,-0.0719,-0.0739,-0.0444
2018-10-30,2018-10-31,2018-11-21,G3,XLV,ABBV,6.04,-0.1249,-0.1654,0.1066,0.1046,0.0975
2018-10-30,2018-10-31,2018-11-21,G3,XLI,CAT,5.95,-0.2365,-0.2529,0.021,0.019,0.0212
2018-10-30,2018-10-31,2018-11-21,G3,XLC,NFLX,6.06,-0.2422,-0.2507,-0.1314,-0.1334,-0.0753
2018-10-30,2018-10-31,2018-11-21,G3,XLB,PKG,6.03,-0.1541,-0.2133,0.0431,0.0411,0.0188
2018-10-30,2018-10-31,2018-11-21,G3,XLE,VLO,5.01,-0.22,-0.2567,-0.1222,-0.1242,-0.1046
2018-10-30,2018-10-31,2018-11-21,G4,XLY,SBUX,6.87,0.054,-0.0086,0.152,-0.154,-0.1795
2018-10-30,2018-10-31,2018-11-21,G4,XLV,MRK,6.92,0.0156,0.0,0.016,-0.018,-0.0069
2018-10-30,2018-10-31,2018-11-21,G4,XLB,IFF,5.26,0.0358,0.0,-0.0357,0.0337,0.0601
2018-10-30,2018-10-31,2018-11-21,G4,XLP,PG,8.63,0.0666,-0.003,0.0308,-0.0328,-0.0382
2018-10-30,2018-10-31,2018-11-21,G4,XLU,DTE,7.89,0.0325,-0.0284,0.0387,-0.0407,-0.0314
2018-11-20,2018-11-21,2018-12-14,G1,XLC,CMCSA,3.14,0.0311,-0.0474,-0.0312,-0.0332,-0.0346
